ticker,company,country,industry
126,Morgan Advanced Materials PLC,UK,CapitalGoods
127,Adtran Networks SE,Germany,TechnologyHardwareEquipment
128,Croda International PLC,UK,Materials
129,Eiffage SA,France,CapitalGoods
130,Ramsay Generale de Sante SA,France,HealthCareEquipmentServices
131,MAN SE,Germany,CapitalGoods
132,NRJ Group,France,MediaEntertainment
133,Kin & Carta PLC,UK,SoftwareServices
134,Spirax-Sarco Engineering PLC,UK,CapitalGoods
135,Solocal Group,France,MediaEntertainment
136,Mediaset Espana Comunicacion SA,Spain,MediaEntertainment
137,Marshalls PLC,UK,Materials
138,Informa PLC,UK,MediaEntertainment
139,Victrex PLC,UK,Materials
140,Anglogold Ashanti Plc,UK,Materials
141,Buzzi SpA,Italy,Materials
142,Terna - Rete Elettrica Nazionale,Italy,Utilities
143,Draegerwerk AG & Co KGaA,Germany,HealthCareEquipmentServices
144,Banco di Desio e della Brianza SpA,Italy,Banks
145,Bilfinger SE,Germany,CommercialProfessionalServices
146,Renewi PLC,UK,CommercialProfessionalServices
147,Salzgitter AG,Germany,Materials
148,Amplifon SpA,Italy,HealthCareEquipmentServices
149,Berkeley Group Holdings PLC,UK,HotelsRestaurantsConsumerServices
150,Ferrovial SA,Spain,CapitalGoods
151,Future PLC,UK,MediaEntertainment
152,Eramet SA,France,Materials
153,Geox SpA,Italy,HotelsRestaurantsConsumerServices
154,Rheinmetall AG,Germany,CapitalGoods
155,Pinewood Technologies Group PLC,UK,HotelsRestaurantsConsumerServices
156,Entain PLC,UK,HotelsRestaurantsConsumerServices
157,Ence Energia y Celulosa SA,Spain,Materials
158,LANXESS AG,Germany,Materials
159,Ashtead Group PLC,UK,CapitalGoods
160,Dignity PLC,UK,HotelsRestaurantsConsumerServices
161,Mersen SA,France,CapitalGoods
162,Tubacex SA,Spain,Materials
163,ERG SpA,Italy,Utilities
164,Obrascon Huarte Lain SA,Spain,CapitalGoods
165,Micro Focus International PLC,UK,SoftwareServices
166,Interpump Group SpA,Italy,CapitalGoods
167,K+S AG,Germany,Materials
168,Engie SA,France,Utilities
169,Alstom SA,France,CapitalGoods
170,Teleperformance SE,France,CommercialProfessionalServices
171,Electricite de France SA,France,Utilities
172,Eutelsat Communications SACA,France,MediaEntertainment
173,Bechtle AG,Germany,SoftwareServices
174,Drax Group PLC,UK,Utilities
175,KUKA AG,Germany,CapitalGoods
176,Wacker Chemie AG,Germany,Materials
177,Legrand SA,France,CapitalGoods
178,FUCHS SE,Germany,Materials
179,SThree PLC,UK,CommercialProfessionalServices
180,Kloeckner & Co SE,Germany,CapitalGoods
181,Wirecard AG,Germany,CommercialProfessionalServices
182,General de Alquiler de Maquinaria SA,Spain,CapitalGoods
183,Deutz AG,Germany,CapitalGoods
184,Eurotech SpA,Italy,TechnologyHardwareEquipment
185,Dunelm Group PLC,UK,HotelsRestaurantsConsumerServices
186,Carl Zeiss Meditec AG,Germany,HealthCareEquipmentServices
187,Symrise AG,Germany,Materials
188,Viscofan SA,Spain,FoodBeverageTobacco
189,Clinica Baviera SA,Spain,HealthCareEquipmentServices
190,AmRest Holdings SE,Spain,HotelsRestaurantsConsumerServices
191,Vocento SA,Spain,MediaEntertainment
192,Prysmian SpA,Italy,CapitalGoods
193,CompuGroup Medical SE & Co KgaA,Germany,HealthCareEquipmentServices
194,Wacker Neuson SE,Germany,CapitalGoods
195,Aeffe SpA,Italy,HotelsRestaurantsConsumerServices
196,DiaSorin SpA,Italy,HealthCareEquipmentServices
197,Italmobiliare SpA,Italy,CapitalGoods
198,Parrot SA,France,TechnologyHardwareEquipment
199,Grupo Ezentis SA,Spain,TechnologyHardwareEquipment
200,Seche Environnement SACA,France,CommercialProfessionalServices
201,FUCHS SE,Germany,Materials
202,CaixaBank SA,Spain,Banks
203,Fluidra SA,Spain,CapitalGoods
204,Il Sole 24 Ore SpA,Italy,MediaEntertainment
205,Audax Renovables SA,Spain,Utilities
206,EDP Renovaveis SA,Spain,Utilities
207,Suez SA,France,Utilities
208,Arbuthnot Banking Group PLC,UK,Banks
209,AG Barr PLC,UK,FoodBeverageTobacco
210,Banco di Desio e della Brianza SpA,Italy,Banks
211,GL Events SACA,France,CommercialProfessionalServices
212,PLC SpA,Italy,CapitalGoods
213,KME Group SpA,Italy,Materials
214,KME Group SpA,Italy,Materials
215,Be Shaping the Future SpA,Italy,SoftwareServices
216,Softlab SpA,Italy,SoftwareServices
217,Castings PLC,UK,Materials
218,Costain Group PLC,UK,CapitalGoods
219,Cewe Stiftung & Co KGAA,Germany,CommercialProfessionalServices
220,Datalogic SpA,Italy,TechnologyHardwareEquipment
221,De' Longhi SpA,Italy,HotelsRestaurantsConsumerServices
222,Diploma PLC,UK,CapitalGoods
223,Ercros SA,Spain,Materials
224,Gesco SE,Germany,CapitalGoods
225,Hill & Smith PLC,UK,Materials
226,JD Sports Fashion PLC,UK,HotelsRestaurantsConsumerServices
227,Juventus Football Club SpA,Italy,MediaEntertainment
228,Kaufman & Broad SA,France,HotelsRestaurantsConsumerServices
229,KSB SE & Co KGaA,Germany,CapitalGoods
230,Miquel y Costas & Miquel SA,Spain,Materials
231,Duro Felguera SA,Spain,CapitalGoods
232,Mears Group PLC,UK,CommercialProfessionalServices
233,Nemetschek SE,Germany,SoftwareServices
234,Prim SA,Spain,HealthCareEquipmentServices
235,Reno de Medici SpA,Italy,Materials
236,Robert Walters PLC,UK,CommercialProfessionalServices
237,Sabaf SpA,Italy,HotelsRestaurantsConsumerServices
238,STRATEC SE,Germany,HealthCareEquipmentServices
239,SOL SpA,Italy,Materials
240,Ted Baker PLC,UK,HotelsRestaurantsConsumerServices
241,Tribal Group PLC,UK,HotelsRestaurantsConsumerServices
242,KSB SE & Co KGaA,Germany,CapitalGoods
243,Acinque SpA,Italy,Utilities
244,AS Roma SpA,Italy,MediaEntertainment
245,Borgosesia SpA,Italy,CapitalGoods
246,Centrale del Latte d'Italia,Italy,FoodBeverageTobacco
247,Cembre SpA,Italy,CapitalGoods
248,El.En. SpA,Italy,HealthCareEquipmentServices
